id,satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,Work_accident,package,promotion_last_5years,division,salary
1416,0.87,0.84,2,181,9,1,d,0,RandD,medium
1417,0.2,-0.01,0,16,0,0,b,0,management,medium
1418,0.3,0.15,0,30,1,0,a,0,management,medium
1419,0.56,0.44,1,90,4,0,e,0,hr,medium
1420,0.84,0.86,2,183,8,1,a,1,hr,low
1421,0.46,0.33,1,63,3,1,c,0,hr,medium
1422,0.42,0.43,1,110,5,1,c,0,sales,low
1423,0.16,0.07,0,2,0,0,d,0,RandD,medium
1424,0.33,0.15,0,36,1,0,b,0,hr,medium
1425,0.9,0.93,2,188,9,1,d,0,management,low
1426,0.9,0.9,2,202,9,1,c,0,management,low
1427,0.18,-0.02,0,0,0,0,d,0,RandD,low
1428,0.89,0.88,2,185,9,1,c,0,technical,low
1429,0.55,0.55,1,118,6,0,d,0,marketing,low
1430,0.81,0.77,2,175,8,1,c,0,technical,low
1431,0.65,0.37,1,85,4,0,e,0,hr,low
1432,0.44,0.51,1,107,5,1,c,1,marketing,medium
1433,0.67,0.42,1,94,4,0,d,0,support,low
1434,0.59,0.61,1,126,6,1,b,0,management,low
1435,0.3,0.12,0,28,1,0,c,0,management,low
1436,0.18,0.07,0,7,0,1,b,0,IT,high
1437,0.42,0.26,1,61,3,0,b,0,sales,medium
1438,0.64,0.66,1,139,7,0,c,0,sales,high
1439,0.39,0.22,0,42,2,0,c,0,IT,low
1440,0.6,0.6,1,135,6,1,c,0,IT,low
1441,0.92,0.86,2,187,9,1,c,0,sales,medium
1442,0.27,0.11,0,12,0,0,b,1,support,low
1443,0.58,0.64,1,127,6,1,c,0,support,high
1444,0.57,0.42,1,92,4,1,d,0,product_mng,low
1445,0.8,0.76,2,175,8,0,d,0,IT,medium
1446,0.33,0.2,0,35,2,0,c,0,management,medium
1447,0.63,0.61,2,144,6,1,d,1,product_mng,low
1448,0.74,0.76,2,165,8,0,d,0,technical,low
1449,0.87,0.88,2,189,9,1,a,0,accounting,low
1450,0.59,0.58,2,127,6,1,c,1,hr,medium
1451,0.68,0.48,1,105,5,1,d,0,management,low
1452,0.56,0.57,1,128,6,1,c,0,marketing,medium
1453,0.82,0.82,2,180,8,0,c,0,technical,low
1454,0.5,0.48,1,122,5,1,c,1,management,medium
1455,0.15,0.02,0,11,0,0,c,0,sales,medium
1456,0.86,0.87,2,193,9,1,d,0,marketing,low
1457,0.59,0.57,2,135,6,1,c,0,product_mng,low
1458,0.6,0.57,2,133,6,1,b,0,technical,low
1459,0.36,0.25,0,53,2,0,c,0,IT,low
1460,0.58,0.57,1,140,6,1,c,0,hr,low
1461,0.5,0.4,1,79,4,0,c,0,product_mng,low
1462,0.56,0.55,1,127,5,1,b,0,management,medium
1463,0.27,0.09,0,29,1,0,b,0,hr,low
1464,0.56,0.62,1,128,6,1,b,0,sales,low
1465,0.93,0.92,2,193,9,1,b,0,hr,low
1466,0.17,0.05,0,13,0,0,c,0,product_mng,low
1467,0.92,0.88,2,187,9,1,d,0,marketing,low
1468,0.6,0.4,1,80,4,0,e,0,technical,low
1469,0.8,0.76,2,180,8,1,d,1,management,medium
1470,0.72,0.7,2,152,7,0,d,0,hr,medium
1471,0.48,0.48,1,123,5,0,d,1,marketing,medium
1472,0.65,0.68,1,157,7,1,c,0,management,high
1473,0.78,0.77,2,182,8,1,b,0,technical,low
1474,0.59,0.34,1,90,3,0,c,0,technical,low
1475,0.44,0.29,1,67,3,0,b,1,marketing,low
1476,0.61,0.56,1,135,6,0,c,0,RandD,low
1477,0.74,0.69,1,169,7,1,a,0,technical,low
1478,0.67,0.7,2,152,7,1,b,0,support,low
1479,0.71,0.71,2,158,7,1,d,0,sales,low
1480,0.55,0.43,1,90,4,1,b,0,management,low
1481,0.76,0.76,2,167,8,1,c,0,support,low
1482,0.27,0.06,0,29,1,0,d,0,marketing,high
1483,0.46,0.5,1,111,5,0,a,0,technical,high
1484,0.13,-0.03,0,7,0,0,a,0,technical,low
1485,0.43,0.32,1,67,3,0,b,0,marketing,low
1486,0.47,0.38,1,74,3,0,d,1,marketing,low
1487,0.51,0.36,1,73,4,1,b,0,hr,low
1488,0.63,0.65,1,146,7,1,d,0,hr,low
1489,0.58,0.32,1,69,3,1,c,0,product_mng,low
1490,0.55,0.4,1,100,4,0,b,0,sales,medium
1491,0.41,0.25,0,55,2,1,b,0,sales,low
1492,0.48,0.3,1,77,4,0,c,1,support,low
1493,0.38,0.18,1,55,2,0,d,0,technical,low
1494,0.2,0.06,0,16,1,0,c,0,management,low
1495,0.51,0.56,1,111,5,1,b,0,technical,high
1496,0.59,0.59,1,135,6,0,c,0,hr,medium
1497,0.56,0.6,1,120,6,0,e,0,sales,low
1498,0.61,0.37,1,89,4,0,c,0,accounting,high
1499,0.56,0.33,1,75,3,0,d,0,management,low
1500,0.77,0.79,2,177,8,1,c,0,hr,low
1501,0.44,0.44,1,104,5,1,d,0,RandD,low
1502,0.64,0.45,1,95,4,0,d,0,accounting,low
1503,0.14,-0.01,0,2,0,0,c,0,product_mng,medium
1504,0.49,0.26,1,69,3,0,e,0,support,low
1505,0.56,0.3,1,71,3,1,c,0,management,low
1506,0.57,0.4,1,75,4,0,e,0,sales,medium
1507,0.53,0.53,1,121,5,1,d,0,sales,low
1508,0.45,0.51,1,103,5,0,d,0,technical,low
1509,0.54,0.53,1,113,5,1,d,0,sales,low
1510,0.68,0.69,2,149,7,1,a,0,accounting,low
1511,0.72,0.73,2,165,7,1,b,0,management,low
1512,0.66,0.69,1,150,6,1,b,0,management,medium
1513,0.87,0.89,2,201,9,1,b,0,RandD,medium
1514,0.14,0.04,0,9,1,0,e,0,management,low
1515,0.33,0.13,0,39,2,0,b,1,management,medium
1516,0.18,0.01,0,-2,0,0,b,0,sales,medium
1517,0.56,0.58,1,123,6,0,c,0,management,medium
1518,0.83,0.85,2,183,8,1,c,1,RandD,low
1519,0.35,0.19,0,48,2,0,d,0,support,medium
1520,0.83,0.81,2,190,8,1,c,0,product_mng,high
1521,0.19,0.05,0,7,0,0,d,0,management,low
1522,0.83,0.81,2,182,8,1,c,0,support,low
1523,0.53,0.28,1,66,3,0,e,0,management,medium
1524,0.23,0.13,0,26,1,0,b,0,sales,medium
1525,0.66,0.45,1,91,4,1,c,0,product_mng,low
1526,0.39,0.27,0,54,3,0,d,0,accounting,medium
1527,0.38,0.29,0,47,3,0,b,0,sales,low
1528,0.44,0.26,1,63,2,0,d,0,hr,medium
1529,0.74,0.72,1,151,7,0,c,1,product_mng,low
1530,0.47,0.44,1,102,5,0,b,0,support,low
1531,0.46,0.32,1,54,3,0,c,0,product_mng,medium
1532,0.55,0.54,1,119,6,1,d,1,accounting,low
1533,0.67,0.64,1,141,6,1,b,1,support,low
1534,0.42,0.22,0,61,3,1,c,0,marketing,low
1535,0.54,0.37,1,77,3,1,d,0,RandD,low
1536,0.26,0.08,0,16,1,0,d,0,technical,medium
1537,0.38,0.15,0,38,1,0,c,0,sales,low
1538,0.61,0.64,1,140,7,1,c,0,product_mng,medium
1539,0.34,0.2,0,32,1,0,d,0,technical,low
1540,0.46,0.46,1,108,5,0,b,1,support,medium
1541,0.62,0.64,1,148,6,1,e,1,management,low
1542,0.31,0.14,0,19,1,0,c,0,product_mng,low
1543,0.49,0.47,1,115,5,0,b,0,hr,high
1544,0.4,0.27,1,45,2,0,a,0,sales,low
1545,0.9,0.84,2,182,8,1,b,0,technical,low
1546,0.66,0.45,1,106,4,1,d,0,management,low
1547,0.76,0.74,2,158,7,1,c,0,management,low
1548,0.47,0.5,1,106,5,1,b,1,hr,low
1549,0.22,0.07,0,17,0,0,e,0,management,high
1550,0.57,0.53,1,131,6,0,d,0,product_mng,medium
1551,0.88,0.84,2,192,9,1,b,0,product_mng,medium
1552,0.53,0.54,1,124,5,1,c,1,technical,low
1553,0.76,0.77,2,168,7,0,b,0,technical,medium
1554,0.79,0.76,2,181,8,1,c,0,sales,high
1555,0.38,0.24,0,37,2,1,d,0,product_mng,medium
1556,0.4,0.18,1,40,2,0,c,0,RandD,low
1557,0.52,0.52,1,118,5,0,d,0,management,medium
1558,0.61,0.39,1,73,3,0,e,0,support,medium
1559,0.74,0.72,2,166,7,0,c,0,marketing,high
1560,0.81,0.81,2,182,8,1,c,1,sales,low
1561,0.52,0.27,1,64,3,1,c,0,RandD,medium
1562,0.36,0.2,0,44,3,0,a,0,technical,low
1563,0.71,0.71,1,159,7,1,e,1,RandD,low
1564,0.43,0.25,0,56,3,0,d,0,sales,low
1565,0.77,0.73,2,171,7,1,d,1,product_mng,medium
1566,0.54,0.37,1,90,4,0,a,0,hr,low
1567,0.59,0.58,1,143,6,1,d,0,product_mng,low
1568,0.21,0.09,0,22,1,0,d,0,sales,high
1569,0.55,0.6,1,128,6,1,c,0,sales,low
1570,0.55,0.44,1,97,4,1,c,0,marketing,medium
1571,0.53,0.5,1,125,6,1,e,0,accounting,low
1572,0.33,0.11,0,38,2,0,a,0,management,medium
1573,0.66,0.71,1,148,7,1,b,0,management,medium
1574,0.8,0.78,2,167,8,1,d,0,IT,low
1575,0.34,0.2,0,52,2,0,a,0,marketing,low
1576,0.24,0.12,0,26,1,0,e,0,hr,low
1577,0.19,0,0,11,0,0,a,0,management,medium
1578,0.59,0.57,1,121,5,0,d,0,marketing,medium
1579,0.54,0.6,1,118,5,1,d,0,marketing,low
1580,0.46,0.51,1,108,5,0,c,0,product_mng,low
1581,0.34,0.17,0,53,2,0,c,0,sales,low
1582,0.54,0.31,1,86,3,0,b,0,sales,low
1583,0.52,0.5,1,114,5,0,b,0,accounting,low
1584,0.64,0.48,1,104,5,1,d,0,support,medium
1585,0.89,0.87,2,190,9,1,d,0,marketing,medium
1586,0.28,0.08,0,26,2,0,b,0,marketing,medium
1587,0.63,0.67,1,140,6,0,d,0,marketing,medium
1588,0.51,0.33,1,85,4,0,c,0,accounting,low
1589,0.57,0.34,1,94,4,1,c,0,marketing,low
1590,0.64,0.62,1,141,7,1,b,0,product_mng,low
1591,0.64,0.59,2,139,6,1,c,0,sales,medium
1592,0.94,0.88,2,201,8,1,c,0,marketing,low
1593,0.25,0.16,0,23,2,0,d,0,marketing,low
1594,0.27,0.13,0,30,1,0,d,0,accounting,high
1595,0.63,0.64,2,152,6,1,c,1,management,low
1596,0.49,0.51,1,112,6,1,a,0,product_mng,low
1597,0.43,0.25,0,54,2,0,b,0,support,low
1598,0.26,0.05,0,11,1,0,b,0,RandD,low
1599,0.2,0.04,0,18,1,0,d,0,marketing,low
1600,0.79,0.84,2,182,8,1,e,0,accounting,high
1601,0.37,0.14,0,30,2,1,d,0,technical,medium
1602,0.48,0.26,1,71,3,0,b,0,sales,medium
1603,0.39,0.2,1,48,2,0,d,0,support,medium
1604,0.46,0.31,1,80,3,1,b,0,hr,low
1605,0.25,0.01,0,5,0,0,c,0,support,low
1606,0.45,0.43,1,111,5,1,d,0,marketing,medium
1607,0.25,0.05,0,20,0,0,b,0,management,low
1608,0.73,0.74,2,153,7,1,c,0,technical,medium
1609,0.34,0.18,1,43,2,0,b,0,management,low
1610,0.46,0.48,1,116,5,1,c,0,marketing,low
1611,0.79,0.8,2,176,8,0,c,0,technical,low
1612,0.6,0.62,1,128,6,0,d,0,accounting,low
1613,0.46,0.46,1,114,5,1,c,0,sales,medium
1614,0.5,0.25,0,56,2,0,c,0,management,medium
1615,0.45,0.3,1,65,3,1,e,1,technical,low
1616,0.61,0.63,1,137,6,1,e,0,marketing,low
1617,0.91,0.85,2,200,9,1,d,0,marketing,low
1618,0.57,0.59,1,127,6,1,c,0,management,low
1619,0.48,0.46,1,113,5,1,d,0,marketing,low
1620,0.67,0.61,2,150,6,1,c,0,management,medium
1621,0.66,0.42,1,96,4,1,b,0,technical,medium
1622,0.21,0.03,0,16,1,0,a,0,technical,medium
1623,0.49,0.54,1,107,5,0,d,0,management,low
1624,0.87,0.87,2,199,8,1,d,1,product_mng,low
1625,0.35,0.16,0,35,1,0,e,0,hr,low
1626,0.62,0.61,1,148,6,1,d,0,marketing,medium
1627,0.39,0.18,1,30,2,1,c,0,RandD,low
1628,0.49,0.44,1,106,4,0,b,0,product_mng,low
1629,0.29,0.13,0,14,1,0,c,0,RandD,low
1630,0.56,0.45,1,91,4,0,c,0,management,low
1631,0.71,0.65,1,147,7,1,b,0,management,low
1632,0.54,0.28,1,75,3,1,d,0,management,low
1633,0.61,0.56,1,140,6,0,b,0,accounting,low
1634,0.7,0.74,2,154,8,1,c,0,IT,low
1635,0.88,0.85,2,179,8,1,c,0,management,medium
1636,0.41,0.24,1,54,2,0,c,0,hr,low
1637,0.6,0.39,1,77,4,0,c,0,marketing,medium
1638,0.31,0.13,0,29,1,0,b,0,hr,medium
1639,0.93,0.9,2,192,9,1,a,0,RandD,low
1640,0.87,0.86,2,185,9,1,a,1,sales,low
1641,0.45,0.49,1,103,5,0,b,1,marketing,medium
1642,0.79,0.75,2,171,7,1,d,0,management,medium
1643,0.44,0.48,1,104,4,1,c,0,management,low
1644,0.56,0.56,1,130,6,1,b,0,management,low
1645,0.28,0.1,0,14,1,1,e,0,RandD,medium
1646,0.68,0.7,2,152,6,0,c,0,product_mng,low
1647,0.25,0.14,0,21,1,0,a,0,technical,low
1648,0.74,0.76,2,175,8,1,d,0,RandD,medium
1649,0.68,0.7,2,156,7,1,c,0,technical,low
1650,0.62,0.66,1,135,6,0,c,0,technical,medium
1651,0.21,0.03,0,3,1,0,c,0,support,low
1652,0.49,0.24,1,52,2,0,b,0,IT,low
1653,0.36,0.18,0,43,3,0,e,0,hr,low
1654,0.55,0.33,1,73,4,1,b,1,marketing,medium
1655,0.21,0.09,0,15,1,1,c,0,marketing,low
1656,0.86,0.89,2,197,8,1,d,0,technical,high
1657,0.48,0.48,1,103,5,1,c,0,hr,low
1658,0.45,0.27,1,68,3,0,c,1,product_mng,medium
1659,0.55,0.33,1,76,3,0,e,0,accounting,medium
1660,0.62,0.36,1,84,4,0,d,1,product_mng,high
1661,0.52,0.57,1,129,6,1,d,0,product_mng,low
1662,0.45,0.44,1,110,5,0,c,0,marketing,low
1663,0.82,0.84,2,187,9,1,c,0,marketing,low
1664,0.7,0.47,1,104,4,1,c,1,marketing,low
1665,0.93,0.89,2,208,9,1,d,0,product_mng,low
1666,0.77,0.8,2,172,7,0,b,0,product_mng,low
1667,0.36,0.18,0,34,1,0,d,0,support,high
1668,0.87,0.82,2,177,9,1,a,0,support,low
1669,0.3,0.15,0,27,1,1,b,0,product_mng,high
1670,0.76,0.77,2,167,7,1,c,0,management,low
1671,0.55,0.31,1,81,4,0,b,0,hr,low
1672,0.79,0.74,2,168,8,0,c,0,product_mng,low
1673,0.8,0.74,2,183,8,0,c,0,sales,low
1674,0.76,0.71,2,163,7,0,b,0,hr,medium
1675,0.72,0.76,2,161,7,1,c,0,marketing,low
1676,0.48,0.28,1,51,2,0,c,0,technical,low
1677,0.25,0.06,0,25,1,0,c,0,hr,high
1678,0.55,0.4,1,81,3,0,d,0,hr,high
1679,0.34,0.15,0,35,1,1,c,0,management,low
1680,0.63,0.6,2,147,6,0,b,1,accounting,low
1681,0.54,0.36,1,79,3,1,c,0,support,low
1682,0.89,0.92,2,190,9,1,a,0,hr,low
1683,0.59,0.61,1,137,6,0,b,0,RandD,medium
1684,0.74,0.74,2,169,7,0,d,0,RandD,low
1685,0.26,0.15,0,16,1,0,c,0,technical,low
1686,0.79,0.74,2,167,8,1,b,0,IT,high
1687,0.86,0.84,2,182,9,1,c,0,management,low
1688,0.66,0.49,1,100,4,0,c,0,RandD,medium
1689,0.56,0.53,1,126,5,0,b,0,management,medium
1690,0.68,0.71,1,146,7,1,c,0,technical,low
1691,0.28,0.15,0,41,2,0,b,0,management,low
1692,0.63,0.4,1,107,4,1,c,0,technical,low
1693,0.52,0.39,1,83,3,1,c,0,accounting,low
1694,0.29,0.1,0,38,1,0,c,0,IT,low
1695,0.52,0.35,1,80,4,1,e,0,RandD,low
1696,0.24,0.02,0,8,1,1,b,0,management,medium
1697,0.17,0.07,0,12,1,0,c,0,sales,low
1698,0.31,0.11,0,37,1,0,c,0,marketing,medium
1699,0.87,0.84,2,185,9,1,c,1,marketing,low
1700,0.45,0.46,1,120,5,0,d,0,product_mng,low
1701,0.91,0.92,2,184,9,1,b,0,sales,low
1702,0.57,0.41,1,86,4,1,c,0,RandD,high
1703,0.44,0.3,1,67,3,1,b,0,product_mng,low
1704,0.42,0.46,1,108,4,0,b,1,support,low
1705,0.59,0.39,1,93,4,0,d,0,RandD,high
1706,0.22,0.06,0,23,1,0,c,0,marketing,medium
1707,0.59,0.58,1,131,6,1,c,0,RandD,medium
1708,0.37,0.17,0,48,2,0,e,0,IT,low
1709,0.55,0.61,1,124,5,1,d,0,management,medium
1710,0.57,0.61,1,132,6,0,d,0,marketing,low
1711,0.27,0.13,0,37,1,0,b,0,marketing,medium
1712,0.2,0.02,0,8,0,0,b,0,marketing,medium
1713,0.68,0.73,1,156,7,0,c,1,sales,high
1714,0.58,0.38,1,82,4,1,d,0,management,low
1715,0.16,0.02,0,16,1,0,c,0,marketing,low
1716,0.89,0.86,2,192,9,1,b,0,marketing,medium
1717,0.24,0.06,0,12,1,0,d,0,sales,high
1718,0.63,0.66,1,134,6,0,d,0,management,low
1719,0.9,0.86,2,186,9,1,e,0,technical,low
1720,0.37,0.17,1,48,3,0,c,1,sales,low
1721,0.25,0.12,0,26,1,0,b,0,accounting,medium
1722,0.25,0.13,0,23,1,0,e,0,marketing,low
1723,0.44,0.24,0,54,3,0,d,0,product_mng,high
1724,0.26,0.06,0,29,1,0,b,0,management,medium
1725,0.63,0.67,1,128,6,0,c,0,management,low
1726,0.19,0.1,0,20,1,0,a,0,support,low
1727,0.43,0.51,1,107,4,0,b,0,sales,medium
1728,0.94,0.93,2,193,9,1,b,0,technical,low
1729,0.71,0.7,1,161,7,1,b,0,management,medium
1730,0.55,0.53,1,134,6,1,c,0,technical,medium
1731,0.49,0.26,1,65,2,1,b,0,marketing,medium
1732,0.54,0.54,1,117,5,1,b,0,accounting,low
1733,0.47,0.52,1,105,5,1,c,0,sales,high
1734,0.61,0.42,1,85,4,0,d,0,management,medium
1735,0.25,0.14,0,32,1,1,b,0,management,low
1736,0.8,0.77,2,186,8,1,d,0,marketing,low
1737,0.62,0.45,1,82,4,0,d,0,support,low
1738,0.36,0.2,0,34,2,1,c,0,marketing,low
1739,0.5,0.3,1,70,4,0,c,0,support,low
1740,0.55,0.41,1,92,3,0,c,0,marketing,low
1741,0.74,0.72,2,167,7,0,c,0,management,low
1742,0.66,0.62,2,154,6,1,b,0,product_mng,low
1743,0.7,0.71,1,153,7,0,b,0,sales,medium
1744,0.17,0.02,0,6,0,0,c,0,hr,high
1745,0.55,0.34,1,80,4,0,d,0,product_mng,high
1746,0.66,0.41,1,104,4,1,b,0,sales,medium
1747,0.15,0.07,0,3,0,0,d,0,technical,low
1748,0.37,0.25,1,58,3,0,c,0,hr,low
1749,0.67,0.71,2,147,6,0,c,0,sales,low
1750,0.28,0.1,0,32,1,0,c,0,sales,medium
1751,0.45,0.44,1,106,5,1,c,0,product_mng,medium
1752,0.38,0.18,0,35,2,1,b,0,technical,low
1753,0.19,-0.02,0,0,0,0,c,0,technical,low
1754,0.38,0.19,0,49,3,0,b,0,technical,medium
1755,0.9,0.85,2,189,9,1,c,1,IT,low
1756,0.75,0.73,1,154,7,1,c,0,RandD,low
1757,0.9,0.85,2,191,9,1,d,0,management,high
1758,0.68,0.47,1,95,5,0,c,0,product_mng,low
1759,0.25,0.07,0,21,1,0,d,0,accounting,low
1760,0.47,0.49,1,109,5,0,b,0,product_mng,low
1761,0.58,0.36,1,83,5,0,a,0,hr,low
1762,0.75,0.75,2,162,8,1,c,0,IT,low
1763,0.26,0.05,0,27,1,0,c,0,marketing,high
1764,0.68,0.49,1,91,4,0,d,0,hr,medium
1765,0.27,0.16,0,33,2,0,c,0,sales,medium
1766,0.49,0.29,1,62,3,0,a,0,marketing,medium
1767,0.69,0.62,1,157,7,0,d,0,technical,medium
1768,0.64,0.44,1,87,4,1,e,0,marketing,low
1769,0.51,0.37,1,83,3,1,c,1,sales,low
1770,0.5,0.32,1,78,4,0,c,0,technical,medium
1771,0.62,0.42,1,82,5,1,c,0,product_mng,low
1772,0.74,0.74,2,153,7,0,c,0,management,low
1773,0.83,0.83,2,176,8,1,d,0,product_mng,medium
1774,0.89,0.89,2,188,9,1,d,0,technical,low
1775,0.72,0.75,2,155,7,1,d,0,hr,medium
1776,0.51,0.33,0,72,3,0,b,1,technical,medium
1777,0.62,0.61,2,135,6,1,b,0,technical,low
1778,0.55,0.4,1,86,4,1,d,0,technical,low
1779,0.45,0.25,1,55,3,0,c,0,accounting,medium
1780,0.75,0.78,2,174,8,1,d,0,technical,low
1781,0.16,0.09,0,0,0,0,b,0,technical,high
1782,0.82,0.76,2,184,8,1,c,0,marketing,medium
1783,0.58,0.4,1,92,5,1,c,0,IT,low
1784,0.54,0.55,1,121,5,0,d,0,management,high
1785,0.58,0.57,1,127,6,1,b,0,technical,low
1786,0.83,0.78,2,171,8,1,c,0,sales,medium
1787,0.55,0.6,1,125,6,1,b,0,hr,low
1788,0.55,0.51,1,117,6,1,c,0,marketing,medium
1789,0.2,0.09,0,12,0,0,d,0,RandD,low
1790,0.43,0.49,1,106,5,1,d,0,marketing,low
1791,0.31,0.11,0,35,2,0,d,0,IT,low
1792,0.68,0.64,1,150,7,1,b,0,product_mng,low
1793,0.45,0.47,1,106,5,0,c,0,management,low
1794,0.59,0.64,1,143,6,0,d,0,marketing,low
1795,0.22,0.07,0,15,0,0,d,0,technical,low
1796,0.18,0.11,0,23,1,0,e,0,support,low
1797,0.62,0.69,2,137,7,1,c,0,product_mng,medium
1798,0.23,0.07,0,9,1,0,a,0,management,low
1799,0.22,0.1,0,14,1,0,d,0,technical,low
1800,0.15,0.04,0,-1,0,0,e,0,support,medium
1801,0.89,0.9,2,185,9,1,e,0,technical,low
1802,0.67,0.62,1,144,6,0,d,0,management,medium
1803,0.47,0.36,1,80,3,1,b,0,hr,low
1804,0.41,0.27,1,57,3,0,b,0,marketing,low
1805,0.51,0.34,1,68,3,0,d,0,technical,low
1806,0.7,0.66,2,144,7,1,b,0,sales,high
1807,0.58,0.58,2,136,6,1,e,0,hr,low
1808,0.34,0.15,0,36,2,0,c,0,product_mng,medium
1809,0.31,0.13,0,26,1,0,a,0,marketing,medium
1810,0.23,0.05,0,29,1,0,b,0,technical,low
1811,0.58,0.62,1,138,6,0,b,0,support,low
1812,0.7,0.63,2,157,7,1,d,0,management,low
1813,0.45,0.22,0,63,2,0,d,0,sales,medium
1814,0.2,-0.01,0,2,0,0,b,0,product_mng,medium
1815,0.24,0.08,0,20,0,0,c,0,IT,low
1816,0.9,0.85,2,188,9,1,a,0,management,medium
1817,0.46,0.25,1,64,2,0,b,0,marketing,low
1818,0.69,0.69,1,144,7,1,c,0,hr,low
1819,0.54,0.57,1,117,5,1,d,0,technical,low
1820,0.52,0.3,1,75,3,1,e,1,technical,low
1821,0.35,0.16,0,32,2,0,c,0,management,high
1822,0.31,0.08,0,23,1,0,b,0,support,medium
1823,0.56,0.61,1,124,6,0,e,0,product_mng,medium
1824,0.71,0.68,1,156,7,1,c,0,support,low
1825,0.54,0.59,1,120,6,0,c,1,technical,medium
1826,0.45,0.45,1,100,5,0,d,0,support,medium
1827,0.19,0.04,0,10,0,0,c,0,technical,low
1828,0.91,0.83,2,197,9,1,c,0,support,low
1829,0.72,0.67,2,151,7,1,c,1,sales,medium
1830,0.47,0.26,0,59,3,0,c,0,marketing,low
1831,0.9,0.87,2,202,9,1,d,0,management,medium
1832,0.55,0.5,1,111,5,0,b,0,marketing,high
1833,0.5,0.54,1,114,5,1,c,0,IT,high
1834,0.69,0.72,1,147,7,1,e,1,technical,low
1835,0.74,0.72,2,170,8,1,a,1,sales,high
1836,0.6,0.61,1,126,6,1,b,1,technical,low
1837,0.24,0.16,0,22,1,0,c,0,marketing,low
1838,0.44,0.34,1,76,3,0,d,0,RandD,low
1839,0.85,0.83,2,183,8,1,d,0,marketing,medium
1840,0.38,0.22,0,45,2,0,b,0,support,low
1841,0.49,0.3,1,65,3,1,b,0,marketing,low
1842,0.62,0.39,1,96,4,1,d,0,accounting,low
1843,0.63,0.37,1,94,4,0,b,0,management,low
1844,0.55,0.52,1,125,5,1,b,1,product_mng,low
1845,0.86,0.84,2,179,9,1,d,0,marketing,medium
1846,0.39,0.18,1,39,2,0,b,0,RandD,medium
1847,0.24,0.13,0,25,1,0,d,0,technical,low
1848,0.34,0.18,0,36,2,0,c,0,technical,low
1849,0.81,0.8,2,180,8,1,c,1,support,low
1850,0.57,0.55,1,132,6,1,b,0,sales,low
1851,0.43,0.22,0,65,3,0,d,1,product_mng,low
1852,0.75,0.75,2,160,7,1,d,0,sales,low
1853,0.78,0.82,2,174,7,1,d,0,IT,low
1854,0.75,0.72,2,176,8,1,c,1,IT,medium
1855,0.82,0.81,2,184,8,1,d,1,support,high
1856,0.43,0.26,0,57,3,0,c,0,product_mng,low
1857,0.69,0.64,2,145,7,1,d,0,hr,low
1858,0.66,0.45,1,97,4,0,c,0,management,low
1859,0.78,0.76,2,177,8,1,b,1,marketing,medium
1860,0.66,0.65,2,143,7,1,b,0,marketing,low
1861,0.7,0.68,2,153,7,1,b,0,product_mng,low
1862,0.56,0.57,1,124,6,1,c,0,technical,low
1863,0.33,0.14,1,39,1,0,b,0,IT,medium
1864,0.47,0.53,1,111,5,0,a,0,management,low
1865,0.92,0.9,2,187,9,1,c,0,hr,medium
1866,0.86,0.86,2,193,9,1,c,0,accounting,low
1867,0.21,0.07,0,15,0,0,c,0,technical,low
1868,0.28,0.12,0,40,2,0,c,1,technical,medium
1869,0.28,0.13,0,27,1,0,d,0,technical,medium
1870,0.65,0.65,2,145,7,1,e,0,RandD,low
1871,0.76,0.77,2,172,7,1,b,0,technical,medium
1872,0.36,0.17,0,40,2,0,e,0,management,low
1873,0.42,0.47,1,105,4,1,b,0,management,medium
1874,0.76,0.79,2,170,8,0,d,0,support,low
1875,0.67,0.65,2,143,7,0,d,0,management,low
1876,0.48,0.44,1,100,4,1,b,0,sales,low
1877,0.5,0.53,1,108,6,1,d,0,marketing,high
1878,0.45,0.44,1,101,4,0,e,0,hr,medium
1879,0.4,0.29,1,60,3,1,e,0,technical,low
1880,0.48,0.56,1,120,5,1,d,0,technical,medium
1881,0.64,0.62,1,136,7,0,d,0,sales,low
1882,0.79,0.78,2,170,8,1,b,0,management,low
1883,0.58,0.59,1,127,5,1,b,0,hr,medium
1884,0.67,0.64,1,147,6,1,b,1,RandD,medium
1885,0.27,0.12,0,24,1,0,c,0,technical,low
1886,0.65,0.46,1,84,4,0,c,0,RandD,low
1887,0.17,0.03,0,-2,0,0,d,0,support,low
1888,0.37,0.18,0,40,2,0,c,0,marketing,low
1889,0.65,0.63,1,140,6,1,d,0,marketing,low
1890,0.94,0.91,2,204,9,1,d,0,sales,medium
1891,0.26,0.12,0,15,1,0,d,0,hr,high
1892,0.57,0.39,1,72,4,0,d,0,hr,low
1893,0.73,0.7,2,169,7,1,d,0,sales,medium
1894,0.31,0.22,0,42,2,0,d,0,technical,medium
1895,0.5,0.51,1,103,5,0,b,0,hr,low
1896,0.67,0.68,2,137,7,1,c,0,RandD,low
1897,0.55,0.57,1,126,5,0,a,0,support,medium
1898,0.31,0.13,1,39,2,0,d,0,support,low
1899,0.49,0.37,1,63,3,1,b,0,RandD,low
1900,0.72,0.66,1,150,7,1,e,0,accounting,high
1901,0.49,0.47,1,119,5,0,c,0,hr,medium
1902,0.2,0.04,0,3,0,0,b,0,marketing,medium
1903,0.71,0.7,2,151,7,1,c,0,hr,low
